profession,metro,y,x,freq
RT,metro,.0003243454297512,74.86877884675022,1.1105587
RT,metro,.0001792919690959,76.08576221872077,.61389571
RT,metro,.000077517537168,77.30274559069133,.26542005
RN,nonmetro,.0000707476955738,16.89652270984072,1.1526215
RN,nonmetro,.0008072735793147,18.35401423286584,13.152102
RN,nonmetro,.0031260748621273,19.81150575589096,50.930012
RN,nonmetro,.0065390136268449,21.26899727891608,106.53361
RN,nonmetro,.0102744169173433,22.72648880194121,167.39079
RN,nonmetro,.0133488645850204,24.18398032496633,217.47971
RN,nonmetro,.0151843866716231,25.64147184799145,247.38403
RN,nonmetro,.0168966235855747,27.09896337101657,275.27979
RN,nonmetro,.0187530467446296,28.55645489404169,305.52463
RN,nonmetro,.0203412125241743,30.01394641706681,331.39905
